time,Thv,sigma,run,H,V
1650.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1680.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1710.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1740.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1770.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1800.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1830.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1860.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1890.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1920.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1950.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1980.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2010.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2040.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2070.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2100.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2130.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2160.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2190.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2220.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2250.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2280.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2310.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2340.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2370.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2400.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2430.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2460.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2490.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2520.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2550.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2580.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2610.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2640.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2670.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2700.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2730.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2760.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2790.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2820.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2850.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2880.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2910.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2940.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
2970.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3000.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3030.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3060.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3090.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3120.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
